pathway,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,X101,X102,level1,level2,level3
ko00121,0.000138139,0.000109496,0.000129969,0.000137659,0.000125926,0.000123808,0.000123462,0.000149229,0.000135607,0.000117447,0.00012102,0.000121938,0.000124958,0.000148613,0.000123715,0.00011083,0.000121229,0.00013136,0.00013536,0.000114316,0.000114809,0.00011172,0.000146714,0.000122623,Secondary bile acid biosynthesis,Lipid metabolism,Metabolism
ko00130,0.002697021,0.002465885,0.002713077,0.002631965,0.002590813,0.002605927,0.002637213,0.00268467,0.002684994,0.00260463,0.002671419,0.002670861,0.002622591,0.002805665,0.002721712,0.002717527,0.002702169,0.002644657,0.002653838,0.002670842,0.002632975,0.002698385,0.002634327,0.00256689,Ubiquinone and other terpenoid-quinone biosynthesis,Metabolism of cofactors and vitamins,Metabolism
ko00140,0.000820391,0.000630856,0.000700778,0.000742358,0.000793881,0.000763717,0.000778662,0.000867679,0.000798415,0.00078716,0.000840878,0.000719329,0.000758667,0.00080051,0.000769699,0.000744352,0.000804118,0.000839129,0.000863393,0.000761658,0.000754197,0.000711837,0.000906762,0.000782028,Steroid hormone biosynthesis,Lipid metabolism,Metabolism
ko00190,0.007919413,0.007433679,0.008846794,0.008328475,0.008026836,0.008194166,0.008375114,0.00858122,0.00835622,0.008954661,0.008482145,0.008837071,0.009139258,0.008492644,0.008449384,0.00896309,0.008797638,0.008487211,0.008597769,0.008704225,0.008602377,0.008850596,0.008730846,0.008432022,Oxidative phosphorylation,Energy metabolism,Metabolism
ko00195,0.001235283,0.001154303,0.001405098,0.001321897,0.001322882,0.001307927,0.001310537,0.001325708,0.001327108,0.001370892,0.001314113,0.001382987,0.001391924,0.001311479,0.001740732,0.001458385,0.001390866,0.001431568,0.001418469,0.001358422,0.001386655,0.001356887,0.001370655,0.00128179,Photosynthesis,Energy metabolism,Metabolism
ko00196,2.64E-05,1.29E-05,5.94E-06,4.23E-05,7.09E-05,9.68E-06,2.85E-06,1.15E-05,2.61E-05,3.79E-06,2.14E-05,1.01E-05,1.80E-05,1.34E-05,0.000232741,6.38E-05,3.34E-05,0.000103885,6.27E-05,2.47E-05,3.44E-05,3.80E-06,6.22E-05,7.81E-06,Photosynthesis - antenna proteins,Energy metabolism,Metabolism
ko00220,0.003435589,0.003533723,0.003305586,0.003454018,0.003556682,0.003490527,0.003509648,0.003494419,0.003436039,0.00345638,0.003460967,0.003494136,0.003557356,0.003568595,0.003507246,0.003564809,0.003528443,0.003442126,0.003552998,0.003526042,0.003572321,0.003460284,0.003556914,0.003524344,Arginine biosynthesis,Amino acid metabolism,Metabolism
ko00230,0.011631807,0.011188886,0.011633764,0.011656143,0.011541243,0.011719712,0.011716893,0.011753354,0.011860922,0.012149989,0.01186093,0.012098339,0.012277757,0.012030779,0.011917352,0.012389922,0.01213235,0.011665066,0.011995696,0.012185271,0.01203139,0.012139329,0.011868894,0.011842794,Purine metabolism,Nucleotide metabolism,Metabolism
ko00232,2.44E-05,9.84E-06,1.49E-05,2.39E-05,2.40E-05,2.29E-05,1.74E-05,2.06E-05,1.92E-05,1.34E-05,1.78E-05,1.79E-05,2.06E-05,2.27E-05,2.69E-05,1.76E-05,2.36E-05,2.03E-05,2.33E-05,1.90E-05,1.77E-05,1.16E-05,2.03E-05,1.97E-05,Caffeine metabolism,Biosynthesis of other secondary metabolites,Metabolism
ko00240,0.006734034,0.006200331,0.006870446,0.006966321,0.006568533,0.006677632,0.006762534,0.006882922,0.006967986,0.007256946,0.006957078,0.00716913,0.007336118,0.007108308,0.006983335,0.00740549,0.007092648,0.006902343,0.007003167,0.007078167,0.00705743,0.007162187,0.007115029,0.006880384,Pyrimidine metabolism,Nucleotide metabolism,Metabolism
ko00250,0.005452342,0.005332325,0.005384642,0.005474893,0.005474716,0.005486635,0.005609739,0.005501766,0.005468218,0.005568734,0.005523339,0.005577871,0.005673061,0.005908946,0.005537206,0.005662727,0.005574024,0.00550004,0.005635592,0.005608995,0.005637418,0.005564538,0.0057013,0.005569151,"Alanine, aspartate and glutamate metabolism",Amino acid metabolism,Metabolism
ko00253,0.000234554,0.000121746,0.000290743,0.000209634,0.000221917,0.000219653,0.000224853,0.000260197,0.000212791,0.000177148,0.00020783,0.000191642,0.000212178,0.000241909,0.000206055,0.000190787,0.00022752,0.000225052,0.000230062,0.000215525,0.000199203,0.000206906,0.000267278,0.000209687,Tetracycline biosynthesis,Metabolism of terpenoids and polyketides,Metabolism
ko00260,0.007241903,0.007078759,0.007248544,0.007192913,0.007225571,0.007244643,0.00735463,0.007246814,0.007209742,0.007222043,0.007280836,0.007285265,0.007275479,0.007543415,0.007291182,0.007252856,0.007208888,0.007281724,0.007324819,0.007290658,0.00735169,0.007272073,0.007365709,0.007285631,"Glycine, serine and threonine metabolism",Amino acid metabolism,Metabolism
ko00261,0.001577861,0.00129277,0.001597096,0.001543187,0.001479101,0.001564185,0.001614991,0.001651875,0.001640609,0.001688445,0.001587509,0.001658169,0.0017171,0.001637227,0.001609746,0.001736223,0.001701902,0.001560209,0.001672941,0.001640558,0.001654091,0.001723648,0.001613821,0.001622289,Monobactam biosynthesis,Biosynthesis of other secondary metabolites,Metabolism
ko00270,0.006745906,0.00692124,0.006885772,0.006932069,0.006704557,0.006805856,0.006880027,0.006819613,0.007067537,0.007174252,0.007056029,0.007226548,0.007089946,0.006938384,0.006933517,0.007394813,0.007020013,0.006847133,0.007051226,0.007217707,0.007098574,0.00729821,0.007283178,0.006921562,Cysteine and methionine metabolism,Amino acid metabolism,Metabolism
ko00280,0.011195363,0.010254789,0.010903097,0.011014333,0.010817899,0.011151618,0.011073842,0.011013577,0.011247554,0.010777865,0.010686167,0.010698004,0.010469277,0.011282078,0.011115887,0.010618696,0.010789738,0.011066279,0.011152358,0.010423485,0.011005329,0.01067697,0.010877726,0.010916118,"Valine, leucine and isoleucine degradation",Amino acid metabolism,Metabolism
ko00281,0.002716977,0.002579074,0.002811022,0.002663695,0.00263932,0.002758795,0.002701964,0.002750629,0.002794517,0.002595408,0.00259669,0.002552662,0.00247487,0.002696309,0.002683243,0.002536258,0.002641062,0.002745149,0.002717004,0.002500129,0.002691723,0.002612908,0.002573024,0.002700917,Geraniol degradation,Metabolism of terpenoids and polyketides,Metabolism
ko00290,0.002387853,0.002202576,0.00226931,0.002391739,0.002446858,0.002349091,0.002270224,0.002256726,0.002271746,0.002279983,0.002329093,0.002296636,0.002332134,0.002353553,0.002393879,0.002265935,0.002303012,0.002380046,0.002380777,0.002509856,0.002429627,0.002290814,0.002451135,0.002370734,"Valine, leucine and isoleucine biosynthesis",Amino acid metabolism,Metabolism
ko00300,0.002977216,0.002754062,0.002879337,0.003045387,0.003009743,0.002952307,0.002949986,0.003000884,0.002953484,0.002966932,0.002964181,0.003017001,0.003060917,0.003017851,0.003085743,0.003065497,0.003029962,0.003016174,0.003081034,0.003089893,0.00306345,0.002998482,0.003153026,0.003020429,Lysine biosynthesis,Amino acid metabolism,Metabolism
ko00310,0.005560777,0.004940233,0.00554117,0.005442332,0.005332858,0.005541994,0.005532483,0.005530703,0.005518995,0.005204327,0.005295899,0.005348283,0.005073927,0.005800478,0.005555064,0.005142963,0.00536521,0.005425283,0.005469858,0.005120626,0.005364992,0.005335918,0.005244163,0.005412826,Lysine degradation,Amino acid metabolism,Metabolism
ko00311,0.000268487,0.000265514,0.000232704,0.000264597,0.000248149,0.0002402,0.000266089,0.000266682,0.000295615,0.000273185,0.00027682,0.000252992,0.000285167,0.000265781,0.000319255,0.000294178,0.000274708,0.00028918,0.000292212,0.000276802,0.000282959,0.000268457,0.00029701,0.000273038,Penicillin and cephalosporin biosynthesis,Biosynthesis of other secondary metabolites,Metabolism
ko00330,0.005695092,0.005476293,0.00559336,0.005615368,0.005677583,0.005614003,0.005751377,0.005505033,0.005537864,0.005448367,0.005591877,0.005557471,0.005620277,0.006145019,0.005599595,0.005479378,0.005550141,0.005696489,0.005600659,0.005522886,0.005607093,0.005672592,0.005826711,0.005659122,Arginine and proline metabolism,Amino acid metabolism,Metabolism
ko00331,2.50E-07,1.71E-07,1.75E-06,9.34E-07,2.00E-06,1.13E-06,7.49E-07,4.40E-07,1.25E-06,2.29E-06,1.03E-06,2.87E-07,8.99E-07,1.26E-06,6.78E-07,6.51E-07,9.97E-07,5.26E-07,1.16E-06,5.65E-07,5.31E-07,8.31E-07,5.90E-07,4.74E-07,Clavulanic acid biosynthesis,Biosynthesis of other secondary metabolites,Metabolism
ko00332,0.00028256,0.000280741,0.000295936,0.000304651,0.000287789,0.00029677,0.000307438,0.00030458,0.000306021,0.000312254,0.000296849,0.00032032,0.000311023,0.000322878,0.000320031,0.000315756,0.000304543,0.000295263,0.000299695,0.000309723,0.000315067,0.000311356,0.000303274,0.000299611,Carbapenem biosynthesis,Biosynthesis of other secondary metabolites,Metabolism
ko00333,0.005086135,0.004498488,0.004917846,0.004724907,0.00492703,0.004956109,0.005045883,0.005127394,0.004900369,0.004704787,0.004827332,0.004731709,0.00467997,0.0047818,0.004704805,0.004617982,0.00484987,0.004907376,0.004977463,0.004776936,0.004749405,0.004893359,0.004934717,0.004931592,Prodigiosin biosynthesis,Biosynthesis of other secondary metabolites,Metabolism
ko00340,0.003599896,0.003256854,0.003696362,0.003596508,0.003532535,0.003663127,0.003802188,0.003703051,0.003778662,0.003863367,0.003701879,0.003827949,0.003831183,0.003871452,0.003653355,0.003869682,0.003780542,0.003651894,0.003748591,0.003686879,0.003825271,0.003912051,0.003616786,0.003718196,Histidine metabolism,Amino acid metabolism,Metabolism
ko00350,0.004865396,0.004697693,0.004718745,0.004607041,0.004707396,0.004779606,0.004757546,0.004724877,0.004665858,0.004545546,0.004656244,0.004555072,0.004552205,0.004972889,0.0046416,0.004647771,0.004712034,0.004698887,0.004717412,0.004679468,0.004737288,0.00469596,0.004737514,0.004703719,Tyrosine metabolism,Amino acid metabolism,Metabolism
ko00360,0.006229513,0.0059683,0.006102993,0.006068798,0.006173116,0.006272934,0.006103833,0.006230449,0.00606527,0.005698907,0.005976384,0.005802192,0.005662125,0.006289994,0.006167718,0.005661853,0.005974953,0.006088997,0.006017982,0.005795718,0.005943226,0.005678806,0.00586713,0.005992757,Phenylalanine metabolism,Amino acid metabolism,Metabolism
ko00361,0.001298431,0.001003143,0.001398761,0.001177967,0.001256328,0.001220741,0.001184436,0.001289492,0.001278417,0.001111761,0.001210956,0.001135007,0.001096367,0.001188325,0.001229778,0.001078296,0.001220056,0.001260801,0.00118504,0.001190641,0.001155505,0.001183714,0.001235043,0.001204495,Chlorocyclohexane and chlorobenzene degradation,Xenobiotics biodegradation and metabolism,Metabolism
ko00362,0.007792779,0.007069235,0.007960729,0.007479883,0.007504362,0.007713464,0.007317907,0.007748485,0.00751372,0.007007826,0.007233882,0.006974197,0.006669391,0.007650874,0.007383054,0.006827375,0.007305448,0.007615841,0.007377039,0.007043677,0.007333316,0.007067657,0.007249159,0.007397279,Benzoate degradation,Xenobiotics biodegradation and metabolism,Metabolism
ko00363,9.19E-05,8.04E-05,8.72E-05,7.18E-05,7.55E-05,8.57E-05,8.85E-05,0.000105823,8.02E-05,5.80E-05,8.57E-05,7.20E-05,6.17E-05,6.58E-05,7.54E-05,6.33E-05,7.86E-05,7.78E-05,8.57E-05,6.55E-05,6.65E-05,6.21E-05,5.87E-05,6.51E-05,Bisphenol degradation,Xenobiotics biodegradation and metabolism,Metabolism
ko00364,0.000659012,0.000535817,0.000682451,0.000593733,0.00062302,0.00061782,0.000573365,0.000626373,0.000609438,0.000496675,0.000608796,0.000576932,0.000515241,0.000650206,0.000618214,0.000515687,0.000599647,0.000607856,0.000563092,0.00059145,0.000552257,0.000566619,0.000562361,0.000583776,Fluorobenzoate degradation,Xenobiotics biodegradation and metabolism,Metabolism
ko00365,0.000293485,0.00017453,0.000280607,0.000252234,0.000267058,0.000258478,0.000240561,0.000297049,0.000198863,0.000182096,0.000222479,0.000197353,0.000188295,0.000218007,0.000223095,0.000153923,0.000239178,0.000196197,0.000196416,0.000213169,0.000152693,0.000151407,0.000224401,0.000174999,Furfural degradation,Xenobiotics biodegradation and metabolism,Metabolism
ko00380,0.006026808,0.00525192,0.005862417,0.005843861,0.005804863,0.005972545,0.005914436,0.00596783,0.006029687,0.005601723,0.005818231,0.005742678,0.005510138,0.006156426,0.006023561,0.005610039,0.005840943,0.005879761,0.005933699,0.005682313,0.005809681,0.005762124,0.00581021,0.005829775,Tryptophan metabolism,Amino acid metabolism,Metabolism
ko00400,0.003506231,0.003569836,0.00367513,0.003619407,0.003593369,0.003653121,0.003691488,0.003668991,0.003782045,0.003953636,0.003773975,0.003901707,0.003968655,0.003850142,0.003760958,0.004010262,0.003797045,0.003674859,0.003823899,0.003854244,0.003870752,0.003920009,0.003805598,0.003757128,"Phenylalanine, tyrosine and tryptophan biosynthesis",Amino acid metabolism,Metabolism
ko00401,0.000869059,0.000917965,0.000856958,0.000896553,0.000911592,0.00089009,0.000892676,0.000884748,0.000925849,0.00094349,0.000901434,0.000918984,0.000942566,0.000958575,0.000921234,0.000953952,0.000915855,0.000897062,0.000947276,0.000929269,0.000947579,0.000936538,0.000941214,0.000929132,Novobiocin biosynthesis,Biosynthesis of other secondary metabolites,Metabolism
ko00404,0.000116586,8.76E-05,0.000218853,0.000145749,0.000121163,0.000121817,9.41E-05,0.00011756,0.000134808,0.00015394,0.00015084,0.000162468,0.000165036,0.000130141,0.000121562,0.000148354,0.000122631,0.000174085,0.00013055,0.000135886,0.000141117,0.00017378,0.000186878,0.000151595,Staurosporine biosynthesis,Biosynthesis of other secondary metabolites,Metabolism
ko00405,0.000574105,0.000506684,0.00059154,0.000565521,0.000550233,0.000576966,0.000568449,0.000605306,0.000570565,0.000563339,0.000569821,0.000571759,0.000563089,0.000598855,0.000573337,0.000558466,0.000574938,0.000535226,0.000563107,0.000583374,0.000555156,0.000569998,0.000581419,0.000544249,Phenazine biosynthesis,Biosynthesis of other secondary metabolites,Metabolism
ko00410,0.005354354,0.004800218,0.005431962,0.005294369,0.005255934,0.005383189,0.005317587,0.005327807,0.005344411,0.004921656,0.005113445,0.005171473,0.00492419,0.00571351,0.005379801,0.004859131,0.00514,0.005266986,0.005271553,0.004876698,0.005079243,0.004974668,0.005195222,0.005173289,beta-Alanine metabolism,Metabolism of other amino acids,Metabolism
ko00430,0.001050376,0.000972515,0.001016898,0.001083416,0.00101797,0.00104313,0.001049558,0.0010697,0.001093657,0.001104269,0.001038858,0.001087504,0.001121123,0.001140772,0.001099591,0.001152299,0.001116215,0.001091056,0.001070001,0.001106493,0.001076623,0.001117047,0.001154591,0.001100687,Taurine and hypotaurine metabolism,Metabolism of other amino acids,Metabolism
ko00440,0.000602432,0.000475516,0.000495829,0.000584616,0.00062276,0.000557405,0.000557146,0.000528781,0.00054329,0.000561228,0.000535119,0.000518232,0.000581871,0.000532805,0.000583382,0.00051672,0.000562843,0.000578029,0.000555499,0.000572076,0.000584518,0.000529846,0.000581989,0.000570837,Phosphonate and phosphinate metabolism,Metabolism of other amino acids,Metabolism
ko00450,0.00315781,0.002901281,0.003213724,0.003226253,0.003023794,0.003116847,0.003238793,0.003179638,0.003247871,0.003304348,0.003234523,0.003296182,0.003370403,0.003251115,0.003248807,0.003412922,0.003313617,0.003137255,0.003301041,0.003318581,0.003254521,0.003349179,0.003342041,0.003184747,Selenocompound metabolism,Metabolism of other amino acids,Metabolism
ko00460,0.001023799,0.001047511,0.00105467,0.00098658,0.001000693,0.000998271,0.001029027,0.001030931,0.001063026,0.001090115,0.001042741,0.001018953,0.001101888,0.001068848,0.000976235,0.001126127,0.001063183,0.001088719,0.001057099,0.001066367,0.001103676,0.001136615,0.001092251,0.001092789,Cyanoamino acid metabolism,Metabolism of other amino acids,Metabolism
ko00471,0.000588584,0.000686464,0.000649762,0.00063661,0.00062306,0.000635823,0.000641319,0.000654148,0.000656013,0.000662626,0.000630559,0.000657746,0.000648564,0.000656635,0.00064143,0.000656194,0.000639744,0.000616576,0.000636615,0.000629172,0.000630003,0.000652615,0.000632489,0.000629521,D-Glutamine and D-glutamate metabolism,Metabolism of other amino acids,Metabolism
ko00472,0.000154353,0.000141829,0.000144992,0.000150352,0.000150681,0.000147495,0.000165604,0.000163645,0.000148779,0.000134696,0.000148761,0.000140055,0.00014227,0.000144829,0.000157303,0.000130249,0.000146601,0.000148004,0.000172848,0.000137052,0.000136589,0.000133025,0.00015881,0.000136457,D-Arginine and D-ornithine metabolism,Metabolism of other amino acids,Metabolism
ko00473,0.000473636,0.00052203,0.000498366,0.000513926,0.000502947,0.00052048,0.00050908,0.000473349,0.000503766,0.000482545,0.000495003,0.000489661,0.00049869,0.00046363,0.000544101,0.000488283,0.000491685,0.000493341,0.000496443,0.000482932,0.000482481,0.000470301,0.000479434,0.000489995,D-Alanine metabolism,Metabolism of other amino acids,Metabolism
ko00480,0.003245963,0.003515008,0.003421967,0.003271003,0.003308601,0.003321144,0.003352525,0.003295172,0.003523339,0.003575108,0.003334461,0.003482215,0.003337302,0.003224462,0.00313869,0.003452066,0.003346184,0.003294974,0.003312379,0.003469224,0.00344912,0.003647237,0.003364824,0.003440926,Glutathione metabolism,Metabolism of other amino acids,Metabolism
ko00500,0.004494021,0.003742,0.004821615,0.004748338,0.00440611,0.004297761,0.004403337,0.004518531,0.004278598,0.003930914,0.004436373,0.004339694,0.004650481,0.004627625,0.005185857,0.004321325,0.004495128,0.00465521,0.004566232,0.004557569,0.004336485,0.004096178,0.005284922,0.004416879,Starch and sucrose metabolism,Carbohydrate metabolism,Metabolism
ko00510,0.000250271,0.000145614,0.000261578,0.000236608,0.000230023,0.000235149,0.000228565,0.000244579,0.000223534,0.000210095,0.000247286,0.000229016,0.000286963,0.000244569,0.000301311,0.000246155,0.000266761,0.000250571,0.000263237,0.00026423,0.000237406,0.000215975,0.000262698,0.00023922,N-Glycan biosynthesis,Glycan biosynthesis and metabolism,Metabolism
ko00511,0.00036852,0.000267328,0.00041802,0.000338863,0.000355503,0.000304705,0.000333237,0.000351469,0.000364561,0.000351496,0.000333813,0.000313556,0.000494469,0.000368385,0.000336721,0.000337986,0.00038005,0.000426191,0.000383374,0.000408214,0.000361219,0.000415761,0.000551301,0.000409309,Other glycan degradation,Glycan biosynthesis and metabolism,Metabolism
ko00513,8.22E-05,4.46E-05,8.20E-05,5.77E-05,7.01E-05,6.33E-05,6.84E-05,7.67E-05,8.42E-05,6.66E-05,7.19E-05,6.81E-05,8.95E-05,8.91E-05,6.88E-05,7.20E-05,8.05E-05,7.78E-05,8.02E-05,9.51E-05,7.79E-05,9.03E-05,0.000113663,8.37E-05,Various types of N-glycan biosynthesis,Glycan biosynthesis and metabolism,Metabolism
ko00514,6.43E-05,6.23E-05,6.92E-05,8.10E-05,7.69E-05,6.55E-05,5.85E-05,6.52E-05,5.60E-05,5.47E-05,6.49E-05,7.08E-05,6.03E-05,5.75E-05,8.63E-05,5.18E-05,5.64E-05,6.35E-05,5.91E-05,5.73E-05,5.19E-05,4.56E-05,6.29E-05,5.81E-05,Other types of O-glycan biosynthesis,Glycan biosynthesis and metabolism,Metabolism
ko00515,3.58E-05,1.28E-05,2.64E-05,3.62E-05,3.02E-05,3.36E-05,2.93E-05,3.39E-05,2.97E-05,1.99E-05,2.90E-05,3.06E-05,2.58E-05,3.37E-05,6.39E-05,2.73E-05,3.22E-05,3.44E-05,3.34E-05,2.75E-05,2.62E-05,1.67E-05,3.54E-05,2.67E-05,Mannose type O-glycan biosynthesis,Glycan biosynthesis and metabolism,Metabolism
ko00520,0.006958976,0.006450743,0.007444328,0.007173427,0.00695432,0.006679172,0.006873272,0.006969296,0.006969336,0.006789578,0.007089103,0.00686486,0.007362695,0.007105406,0.007383047,0.007206345,0.007146475,0.007343276,0.007229984,0.007379127,0.007069389,0.006964699,0.008113661,0.007124113,Amino sugar and nucleotide sugar metabolism,Carbohydrate metabolism,Metabolism
ko00521,0.001925738,0.001527502,0.001784693,0.00183897,0.001767132,0.001819435,0.001803809,0.001761305,0.001751616,0.001714157,0.001825797,0.001751541,0.001856543,0.001911452,0.001994528,0.001842976,0.001849078,0.001936683,0.00189614,0.001907656,0.001880594,0.001783145,0.001986046,0.001823081,Streptomycin biosynthesis,Biosynthesis of other secondary metabolites,Metabolism
ko00522,0.000242958,8.79E-05,0.000105528,0.000177926,0.000223752,0.000228335,0.000101303,0.000172122,0.000133331,7.74E-05,9.04E-05,0.000131885,9.33E-05,0.000132124,0.000120911,8.09E-05,0.000131874,0.000149037,0.000110267,6.61E-05,7.11E-05,9.16E-05,0.000119747,0.000114059,"Biosynthesis of 12-, 14- and 16-membered macrolides",Metabolism of terpenoids and polyketides,Metabolism
ko00523,0.001074663,0.000984448,0.001017145,0.001091351,0.001071398,0.001111027,0.001074077,0.001025672,0.001037287,0.001056053,0.001088344,0.001072592,0.001148546,0.001122797,0.001189368,0.001103636,0.001113756,0.001140565,0.001120398,0.001155944,0.001141917,0.001088072,0.001208408,0.001098328,Polyketide sugar unit biosynthesis,Metabolism of terpenoids and polyketides,Metabolism
ko00524,0.000377586,0.00023398,0.000368535,0.000347824,0.000341267,0.000342608,0.000365429,0.000351596,0.000319564,0.000286862,0.000358673,0.00031732,0.000344353,0.000358001,0.000392329,0.000339152,0.000347789,0.000379123,0.000359522,0.000363468,0.000362776,0.000337627,0.000416588,0.000348219,"Neomycin, kanamycin and gentamicin biosynthesis",Biosynthesis of other secondary metabolites,Metabolism
ko00525,0.000403462,0.000387111,0.000378423,0.000416849,0.00041271,0.000431717,0.000428402,0.000414458,0.000399278,0.00040073,0.000424329,0.000418505,0.000418348,0.000414304,0.000438287,0.000410997,0.000417279,0.000416972,0.000414716,0.000425575,0.000410456,0.000405127,0.000424654,0.000401672,Acarbose and validamycin biosynthesis,Biosynthesis of other secondary metabolites,Metabolism
ko00531,0.000352685,0.000239466,0.000315038,0.000314282,0.000319484,0.000288559,0.000307456,0.000332436,0.000344775,0.000328352,0.000346401,0.00028991,0.000377819,0.000368633,0.000352433,0.000372718,0.00035856,0.000386646,0.000368811,0.000380826,0.000366645,0.000337908,0.000451485,0.000338408,Glycosaminoglycan degradation,Glycan biosynthesis and metabolism,Metabolism
